DateKey,Year,Month,Day,WeekDay,WeekOfYear,Quarter
2018-05-05,2018,5,5,Saturday,18,2
2017-01-16,2017,1,16,Monday,3,1
2018-02-03,2018,2,3,Saturday,5,1
2017-03-25,2017,3,25,Saturday,12,1
2017-12-10,2017,12,10,Sunday,49,4
2018-03-11,2018,3,11,Sunday,10,1
2018-06-24,2018,6,24,Sunday,25,2
2017-05-11,2017,5,11,Thursday,19,2
2018-03-02,2018,3,2,Friday,9,1
2017-01-13,2017,1,13,Friday,2,1
2018-05-29,2018,5,29,Tuesday,22,2
2017-06-10,2017,6,10,Saturday,23,2
2018-01-09,2018,1,9,Tuesday,2,1
2018-02-01,2018,2,1,Thursday,5,1
2017-05-09,2017,5,9,Tuesday,19,2
2018-03-29,2018,3,29,Thursday,13,1
2017-01-25,2017,1,25,Wednesday,4,1
2016-09-04,2016,9,4,Sunday,35,3
2017-05-27,2017,5,27,Saturday,21,2
2017-01-18,2017,1,18,Wednesday,3,1
2018-07-21,2018,7,21,Saturday,29,3
2017-03-20,2017,3,20,Monday,12,1
2017-08-03,2017,8,3,Thursday,31,3
2017-10-25,2017,10,25,Wednesday,43,4
2017-01-31,2017,1,31,Tuesday,5,1
2018-02-16,2018,2,16,Friday,7,1
2017-08-22,2017,8,22,Tuesday,34,3
2017-07-03,2017,7,3,Monday,27,3
2018-07-06,2018,7,6,Friday,27,3
2018-01-17,2018,1,17,Wednesday,3,1
2018-06-05,2018,6,5,Tuesday,23,2
2017-04-09,2017,4,9,Sunday,14,2
2018-07-20,2018,7,20,Friday,29,3
2018-05-30,2018,5,30,Wednesday,22,2
2017-06-24,2017,6,24,Saturday,25,2
2017-06-22,2017,6,22,Thursday,25,2
2017-09-02,2017,9,2,Saturday,35,3
2017-09-04,2017,9,4,Monday,36,3
2017-01-11,2017,1,11,Wednesday,2,1
2018-02-05,2018,2,5,Monday,6,1
2018-02-24,2018,2,24,Saturday,8,1
2018-06-14,2018,6,14,Thursday,24,2
2018-04-18,2018,4,18,Wednesday,16,2
2018-02-10,2018,2,10,Saturday,6,1
2018-03-01,2018,3,1,Thursday,9,1
2018-02-07,2018,2,7,Wednesday,6,1
2017-08-04,2017,8,4,Friday,31,3
2018-08-13,2018,8,13,Monday,33,3
2018-04-02,2018,4,2,Monday,14,2
2018-05-23,2018,5,23,Wednesday,21,2
2018-04-29,2018,4,29,Sunday,17,2
2018-06-12,2018,6,12,Tuesday,24,2
2017-01-20,2017,1,20,Friday,3,1
2018-08-26,2018,8,26,Sunday,34,3
2018-06-28,2018,6,28,Thursday,26,2
2017-06-04,2017,6,4,Sunday,22,2
2016-10-07,2016,10,7,Friday,40,4
2018-04-08,2018,4,8,Sunday,14,2
2018-03-23,2018,3,23,Friday,12,1
2018-06-10,2018,6,10,Sunday,23,2
2017-10-17,2017,10,17,Tuesday,42,4
2017-12-08,2017,12,8,Friday,49,4
2017-07-28,2017,7,28,Friday,30,3
2018-01-31,2018,1,31,Wednesday,5,1
2018-01-04,2018,1,4,Thursday,1,1
2017-10-05,2017,10,5,Thursday,40,4
2017-09-11,2017,9,11,Monday,37,3
2018-01-24,2018,1,24,Wednesday,4,1
2017-04-04,2017,4,4,Tuesday,14,2
2017-03-24,2017,3,24,Friday,12,1
2018-08-25,2018,8,25,Saturday,34,3
2017-02-23,2017,2,23,Thursday,8,1
2017-03-01,2017,3,1,Wednesday,9,1
2017-08-23,2017,8,23,Wednesday,34,3
2017-03-14,2017,3,14,Tuesday,11,1
2018-01-14,2018,1,14,Sunday,2,1
2018-01-01,2018,1,1,Monday,1,1
2017-07-01,2017,7,1,Saturday,26,3
2017-06-17,2017,6,17,Saturday,24,2
2018-06-19,2018,6,19,Tuesday,25,2
2017-03-30,2017,3,30,Thursday,13,1
2018-01-13,2018,1,13,Saturday,2,1
2017-06-06,2017,6,6,Tuesday,23,2
2018-05-13,2018,5,13,Sunday,19,2
2017-06-03,2017,6,3,Saturday,22,2
2018-07-27,2018,7,27,Friday,30,3
2018-05-14,2018,5,14,Monday,20,2
2017-10-20,2017,10,20,Friday,42,4
2017-06-02,2017,6,2,Friday,22,2
2017-07-12,2017,7,12,Wednesday,28,3
2017-09-15,2017,9,15,Friday,37,3
2017-11-05,2017,11,5,Sunday,44,4
2018-07-03,2018,7,3,Tuesday,27,3
2017-03-10,2017,3,10,Friday,10,1
2017-05-22,2017,5,22,Monday,21,2
2018-03-04,2018,3,4,Sunday,9,1
2017-12-31,2017,12,31,Sunday,52,4
2017-10-29,2017,10,29,Sunday,43,4
2018-01-10,2018,1,10,Wednesday,2,1
2017-02-22,2017,2,22,Wednesday,8,1
2018-07-22,2018,7,22,Sunday,29,3
2018-06-23,2018,6,23,Saturday,25,2
2018-03-09,2018,3,9,Friday,10,1
2017-08-28,2017,8,28,Monday,35,3
